split,environment,path_num,condition_id,source_id,stage1_safe_cost,teacher_safe_cost,stage1_mode,teacher_mode,teacher_valid,B_cost_only_safe_cost,B_cost_only_mode,B_cost_only_recovery
train,env000013,2,5,0,1.7953883409500122,0.33184829354286194,1,1,True,0.11790938675403595,1,1.146178960800171
train,env000013,2,5,1,1.9126046895980835,0.3322397470474243,1,1,True,0.07703704386949539,1,1.1614834070205688
train,env000013,2,5,2,1.761494517326355,0.33474841713905334,1,1,True,0.09692855924367905,1,1.166686773300171
train,env000013,2,5,3,2.3163986206054688,0.3852991461753845,0,0,True,0.0740031749010086,1,1.1612014770507812
train,env000028,4,6,0,3.590587615966797,0.5452867150306702,1,1,True,1.6465929746627808,-1,0.6383587718009949
train,env000028,4,6,1,3.774963617324829,0.5456264615058899,1,1,True,0.19389796257019043,-1,1.1089166402816772
train,env000028,4,6,2,3.2952892780303955,0.5648416876792908,1,1,True,0.22267203032970428,-1,1.1253163814544678
train,env000028,4,6,3,3.666208505630493,0.532381534576416,1,1,True,0.13933715224266052,-1,1.1254199743270874
train,env000076,2,7,0,7.917211055755615,1.072095274925232,1,1,True,0.46321800351142883,1,1.0889506340026855
train,env000076,2,7,1,9.806448936462402,0.9061006903648376,1,1,True,0.5338556170463562,1,1.0418236255645752
train,env000076,2,7,2,9.194032669067383,0.9792927503585815,1,1,True,0.6778952479362488,1,1.0366898775100708
train,env000076,2,7,3,11.964109420776367,3.640665292739868,1,1,True,0.5478552579879761,1,1.3715780973434448
train,env000079,0,8,0,6.522790908813477,1.301277995109558,1,1,True,0.22184647619724274,1,1.2067277431488037
train,env000079,0,8,1,7.623318195343018,2.363466262817383,-1,-1,True,0.2663732171058655,1,1.398698091506958
train,env000079,0,8,2,6.770753383636475,1.6172696352005005,1,1,True,0.23905430734157562,1,1.267433762550354
train,env000079,0,8,3,5.2886738777160645,1.0068223476409912,1,1,True,0.24776457250118256,1,1.177273154258728
train,env000071,0,9,0,9.04440689086914,3.332974433898926,-1,-1,True,1.9049804210662842,1,1.2500237226486206
train,env000071,0,9,1,8.883284568786621,4.066498756408691,-1,0,True,2.1138505935668945,1,1.4053840637207031
train,env000071,0,9,2,8.908249855041504,3.730271339416504,-1,-1,True,1.9577362537384033,1,1.3423218727111816
train,env000071,0,9,3,10.002100944519043,4.331645488739014,-1,-1,True,1.9609633684158325,1,1.4180761575698853
train,env000053,2,10,0,4.195001125335693,1.2969942092895508,-1,-1,True,1.460127592086792,-1,0.9437084197998047
train,env000053,2,10,1,4.1471123695373535,1.3521219491958618,-1,-1,True,1.4052578210830688,-1,0.9809889197349548
train,env000053,2,10,2,4.351765155792236,1.2739397287368774,-1,-1,True,1.5276720523834229,-1,0.9175611138343811
train,env000053,2,10,3,4.223598480224609,1.3166943788528442,-1,-1,True,1.466866374015808,-1,0.9483394622802734
train,env000073,2,11,0,4.43154239654541,0.7825989723205566,1,1,True,1.0342018604278564,1,0.9310477375984192
train,env000073,2,11,1,4.183930397033691,0.671133279800415,1,1,True,1.2319185733795166,1,0.8403593301773071
train,env000073,2,11,2,4.5630950927734375,0.6296849250793457,1,1,True,1.3536585569381714,1,0.8159424662590027
train,env000073,2,11,3,4.18505334854126,1.0652990341186523,1,1,True,1.1678460836410522,1,0.9671297073364258
train,env000070,2,12,0,9.274256706237793,1.7537537813186646,-1,0,True,1.1571446657180786,0,1.0793310403823853
train,env000070,2,12,1,10.551817893981934,1.3532359600067139,-1,-1,True,1.1721924543380737,0,1.019681692123413
train,env000070,2,12,2,11.051033020019531,1.6541763544082642,-1,-1,True,1.216870665550232,1,1.0465375185012817
train,env000070,2,12,3,8.343883514404297,1.2218303680419922,-1,0,True,1.196381688117981,0,1.0035732984542847
train,env000062,2,13,0,2.138719081878662,0.09186258912086487,1,1,True,0.21900013089179993,1,0.9378864765167236
train,env000062,2,13,1,1.6994500160217285,0.015358521603047848,1,1,True,0.15055422484874725,1,0.9197219014167786
train,env000062,2,13,2,3.0532631874084473,0.40036624670028687,1,1,True,0.21579565107822418,1,1.069573163986206
train,env000062,2,13,3,2.263267993927002,0.33669862151145935,1,1,True,0.1498861014842987,1,1.0969663858413696
train,env000075,4,14,0,6.2070465087890625,3.9070677757263184,-1,0,True,1.421569585800171,-1,2.0806612968444824
train,env000075,4,14,1,6.425305366516113,3.9227089881896973,1,1,True,1.047401785850525,0,2.1489295959472656
train,env000075,4,14,2,6.417513847351074,3.777521848678589,-1,-1,True,1.113909125328064,-1,2.0089471340179443
train,env000075,4,14,3,5.660114288330078,3.9393138885498047,1,1,True,1.1449556350708008,-1,2.623871326446533
