variant,environment,path_num,condition_id,source_id,teacher_condition_safe,teacher_candidate_safe,student_candidate_safe,recovery,relative_teacher_error,max_control_point_deviation_m,mode_keep_vs_stage1,mode_match_teacher,teacher_cost,student_cost,teacher_min_esdf,student_min_esdf,newly_unsafe_point_count,newly_unsafe_point_indices,student_max_violation_m
D_induced_coupling,env000088,1,63,0,False,False,False,-0.2742359936237335,1.119145154953003,1.515406847000122,True,True,1.2378133535385132,5.778615951538086,-0.4314310848712921,-0.43432527780532837,8,47 48 49 52 53 62 63 64,0.43432527780532837
D_induced_coupling,env000088,1,63,1,False,False,False,0.5729610919952393,1.115037202835083,2.2503652572631836,True,True,1.1364340782165527,4.6035075187683105,-0.595227062702179,-0.7259386777877808,14,41 42 43 44 45 55 59 60 61 62 63 64 69 70,0.7259386777877808
D_induced_coupling,env000088,1,63,2,False,False,False,0.3446718752384186,1.0310426950454712,1.3070522546768188,True,True,1.0839670896530151,4.871293544769287,-0.7249733209609985,-0.9006184935569763,16,54 55 56 57 58 59 60 61 62 63 64 68 69 70 71 72,0.9006184935569763
D_induced_coupling,env000088,1,63,3,False,False,False,-1.4775168895721436,1.255871295928955,2.002596139907837,True,True,1.7226463556289673,8.972390174865723,-0.4624922275543213,-1.0239685773849487,15,50 51 52 56 57 58 59 60 61 62 63 64 65 66 71,1.0239685773849487
D_induced_coupling,env000069,2,64,0,False,False,False,-0.005247661843895912,1.008533239364624,1.0961703062057495,True,True,0.6782277822494507,5.774186611175537,-0.263509601354599,-0.5583246350288391,10,0 1 2 5 6 7 9 10 11 12,0.5583246350288391
D_induced_coupling,env000069,2,64,1,False,False,False,-0.19525404274463654,1.0164388418197632,1.1097732782363892,True,True,0.7408705353736877,7.130776882171631,-0.35550007224082947,-0.4773624539375305,9,2 5 6 7 9 10 11 12 13,0.4773624539375305
D_induced_coupling,env000069,2,64,2,False,False,False,-0.5370944738388062,1.0709363222122192,1.1754084825515747,True,True,0.4990127682685852,7.9341139793396,-0.05045594274997711,-0.539416491985321,8,5 6 7 9 10 11 12 13,0.539416491985321
D_induced_coupling,env000069,2,64,3,False,False,False,-0.5946873426437378,1.005993127822876,1.0787657499313354,True,True,0.890762448310852,8.182985305786133,-0.25082722306251526,-0.46898919343948364,7,2 6 7 8 9 12 13,0.46898919343948364
D_induced_coupling,env000091,3,65,0,True,True,False,0.46334710717201233,1.0713169574737549,2.534515619277954,False,False,0.2974468767642975,1.6528996229171753,0.18034614622592926,-0.6337902545928955,5,94 95 96 97 98,0.6337902545928955
D_induced_coupling,env000091,3,65,1,True,True,False,0.49781355261802673,0.9501270651817322,0.8520320653915405,False,True,0.2899230122566223,1.6242891550064087,0.17734667658805847,-0.5889843702316284,6,94 95 96 97 98 99,0.5889843702316284
D_induced_coupling,env000091,3,65,2,True,True,False,0.42391401529312134,0.9442779421806335,0.8765783905982971,False,True,0.2811683416366577,1.8038992881774902,0.18667583167552948,-0.6829429864883423,6,94 95 96 97 98 99,0.6829429864883423
D_induced_coupling,env000091,3,65,3,True,True,False,0.2772449553012848,0.9582732319831848,1.223803997039795,True,True,0.30296963453292847,2.135615587234497,0.18787668645381927,-0.6287773847579956,9,66 67 68 94 95 96 97 98 99,0.6287773847579956
D_induced_coupling,env000046,4,66,0,False,False,False,0.21261128783226013,0.9782419204711914,1.5600320100784302,True,True,0.5725955367088318,2.724379539489746,-0.3729170262813568,-0.36349332332611084,12,6 21 22 23 24 25 26 27 28 29 30 31,0.36349332332611084
